subject_id,practice_trial,trial,transition,reward,choice_1,choice_2,rt_1,rt_2,state
sub1,real,107,common,1,2,2,330.1349999383092,685.7799999415874,3
sub1,real,108,common,1,1,2,408.0650000832975,500.9700001683086,2
sub1,real,109,rare,1,1,2,32.06499991938472,420.7349999342114,3
sub1,real,110,common,1,1,2,432.2150000371039,292.45500010438263,2
sub1,real,111,common,1,1,2,599.3500000331551,399.7349999845028,2
sub1,real,112,common,0,2,2,347.97500004060566,329.76000010967255,3
sub1,real,113,rare,1,1,2,103.39999990537764,594.8699999134988,3
sub1,real,114,common,0,1,2,21.004999987781048,286.3000000361353,2
sub1,real,115,rare,1,1,2,364.50499994680285,467.6599998492747,3
sub1,real,116,common,0,2,2,175.64000003039837,437.7599998842925,3
sub1,real,117,common,1,1,2,358.38000010699034,354.4099999126047,2
sub1,real,118,common,1,1,2,249.99499996192753,458.3000000566244,2
sub1,real,119,common,0,1,2,241.6699999012053,455.13000013306737,2
sub1,real,120,common,1,2,2,387.73999991826713,308.07500006631017,3
sub1,real,121,rare,1,2,2,262.6600000075996,506.98999990709126,2
sub1,real,122,common,1,1,2,240.385000128299,322.87999987602234,2
sub1,real,123,common,0,1,2,35.74500000104308,406.2650001142174,2
sub1,real,124,common,0,2,2,2672.9749999940395,955.0999999046326,3
sub1,real,125,common,1,1,2,100.31500016339125,376.09999999403954,2
sub1,real,126,common,0,1,2,257.54000013694167,269.7550000157207,2
sub1,real,127,common,1,1,2,251.70000013895333,405.9199998155236,2
sub1,real,128,common,0,1,2,321.54500018805265,392.2749999910593,2
sub1,real,129,common,0,2,2,355.9900000691414,493.1199999991805,3
sub1,real,130,common,0,1,2,716.3400000426918,269.20000021345913,2
sub1,real,131,rare,1,2,2,283.34500011987984,546.0399999283254,2
sub1,real,132,common,1,1,2,836.7550000548363,466.4749999064952,2
sub1,real,133,rare,0,1,2,933.2449999637902,509.3549999874085,3
sub1,real,134,common,1,1,2,674.2749998811632,572.3549998365343,2
sub1,real,135,common,1,1,2,466.1699999123812,443.37500003166497,2
sub1,real,136,common,1,1,2,555.7900001294911,364.9450000375509,2
sub1,real,137,common,0,1,2,453.0750000849366,584.7199999261647,2
sub1,real,138,common,0,2,2,282.20999985933304,791.7750000488013,3
sub1,real,139,common,1,1,2,167.79499989934266,435.6499998830259,2
sub1,real,140,common,1,1,2,256.1149999964982,387.8850000910461,2
sub1,real,141,common,1,1,2,280.765000032261,341.0750001203269,2
sub1,real,142,common,1,1,2,345.1549999881536,449.54499998129904,2
sub1,real,143,common,1,1,2,225.0700001604855,385.63999999314547,2
sub1,real,144,common,1,1,2,294.06500002369285,469.1200000233948,2
sub1,real,145,rare,0,1,2,393.03999999538064,890.2499999385327,3
sub1,real,146,common,1,1,2,10.590000078082085,446.95000001229346,2
sub1,real,147,common,0,1,2,259.97999985702336,410.4349999688566,2
sub1,real,148,common,1,1,2,210.02999995835123,536.324999993667,2
sub1,real,149,common,0,1,2,292.8299999330193,383.05499986745417,2
sub1,real,150,rare,1,2,2,267.4899999983609,458.1400000024587,2
sub1,real,151,common,1,1,2,524.0299999713898,296.875,2
sub1,real,152,rare,0,1,2,235.0699999369681,364.5599998999387,3
sub1,real,153,rare,1,1,2,189.09500003792343,372.0549999270588,3
sub1,real,154,common,1,1,2,262.97500007785857,458.56000017374754,2
sub1,real,155,common,0,1,2,301.1100001167506,595.90999991633,2
sub1,real,156,rare,0,1,2,325.7200000807643,401.5949999447912,3
sub1,real,157,common,1,2,2,370.3950000926852,493.8149999361485,3
sub1,real,158,common,0,1,2,2530.385000165552,437.6499999780208,2
sub1,real,159,rare,1,2,2,251.15999998524785,394.7950000874698,2
sub1,real,160,rare,1,1,2,289.8399999830872,699.1500000003725,3
sub1,real,161,common,0,2,2,385.5050001293421,1097.609999822453,3
