subject_id,trials_used,alpha,lambda,beta_mb,beta_mf,beta2,stickiness,beta1_stage1,w_hybrid
sub6,191,0.75360076,0.32743921,2.49352,1.4611384,2.9993909,1.4071523,3.9546584000000005,0.6305272789174408
sub60,177,0.26438468,0.011235066,2.9883466,2.1596694,2.7781978,0.68908451,5.148016,0.580485103387402
sub61,179,0.75743992,0.21358196,1.0095328,1.927585,1.3176101,0.26856838,2.9371178000000002,0.34371546146361576
sub62,191,0.17151049,0.95150298,2.7293659,2.2027156,4.7599022,1.6420954,4.9320815,0.553390267374941
sub63,191,0.56952282,0.66449758,1.2688284,1.6190299,4.2465148,1.187725,2.8878583,0.43936657141383983
sub64,177,0.89902088,0.10557625,0.99368489,0.35615827,1.036337,0.48998554,1.34984316,0.736148405567355
sub65,189,0.93095683,0.075209911,6.568759,2.1021678,3.56002,0.54653382,8.6709268,0.7575613485746414
sub66,190,0.10568022,0.75596518,3.5391976,2.9783704,8.4418888,2.4065823,6.517568000000001,0.5430242691752506
sub67,191,0.63618052,0.057994738,6.8955926,1.3118969,4.0797141,2.3752103,8.2074895,0.8401585649302384
sub68,188,0.58218144,0.53588663,2.7493536,2.3504328,3.1489165,0.3322715,5.0997864,0.5391115204354441
sub69,191,0.57023302,0.030035929,4.5651331,2.9232753,5.1884266,1.3496457,7.488408399999999,0.6096266197233581
sub7,191,0.39931332,0.045157082,2.3006216,1.8120883,3.741545,1.582929,4.1127099000000005,0.5593931145009765
sub70,191,0.9455307,0.013491899,0.70030651,0.95769212,1.8585187,-0.68777415,1.65799863,0.4223806324858061
sub71,189,0.53667346,0.072887243,3.2132042,3.7499653,3.6762844,1.8077376,6.963169499999999,0.4614571281081123
sub72,191,0.50902475,0.27271105,3.5233252,2.116807,5.420526,2.7797856,5.6401322,0.6246884071263435
sub73,190,0.78755888,0.02240829,0.95480254,3.0604448,4.6749444,1.4033993,4.01524734,0.2377942027352168
sub74,190,0.54619512,0.90031478,2.0067518,2.686784,3.0233334,1.9067192,4.693535799999999,0.4275565129384973
sub75,184,0.41806727,0.017332681,6.057887,2.4050221,3.9547478,1.2980472,8.462909100000001,0.7158161488465
sub76,187,0.79772769,0.15549284,0.8400134,1.5155139,1.7981763,0.28863587,2.3555273,0.35661373994689005
sub77,191,0.8656418,0.010675033,1.1157778,1.0545364,2.0785969,1.0835225,2.1703142,0.5141088787973649
sub78,190,0.59696477,0.033898058,1.1335995,1.3354414,1.5151196,-0.10597433,2.4690409,0.4591254442160112
sub79,191,0.63206528,0.38848877,2.5587155,1.9386975,1.152809,1.088804,4.497413,0.5689305162768018
sub8,191,0.90300366,0.26026173,2.870608,0.79217466,2.4066411,0.64597025,3.66278266,0.7837232690186428
sub80,187,0.60726598,0.66028395,2.7930253,1.5305749,1.1437338,0.15237957,4.3236002,0.6459952749562737
sub81,191,0.56308951,0.18244031,2.3550801,1.3056266,3.3785605,1.388945,3.6607067,0.6433402872729465
sub82,191,0.87958085,0.023739848,1.9827333,0.75954077,2.02434,0.21427002,2.74227407,0.7230252153461816
sub83,188,0.74586434,0.82445578,1.1976546,0.83007116,1.3820017,1.1580257,2.02772576,0.5906393377376632
sub84,189,0.76862865,0.024786603,1.1470029,0.85297242,1.7567424,1.8107826,1.99997532,0.5735085270952244
sub85,189,0.8122393,0.059036037,3.2374103,1.6740177,1.8781328,0.99778157,4.911428,0.6591586601697104
sub86,190,0.14937252,0.52353275,2.0504294,3.8964772,1.1900376,0.63384004,5.9469066,0.3447892388288056
sub87,187,0.010720696,0.15948094,1.9514563,1.961119,1.896519,-0.078103781,3.9125753000000003,0.4987651739252149
sub88,191,0.62030277,0.12602546,6.2420038,2.7656035,3.7079772,1.4444134,9.0076073,0.69297024083188
sub89,183,0.067616926,0.47802684,2.4047074,5.1836419,4.3949111,0.7971598,7.588349299999999,0.3168946637709469
sub9,156,0.054761082,0.77246472,1.4058456,1.8999462,1.5452007,1.5668277,3.3057917999999997,0.42526743517241467
sub90,188,0.92076815,0.051215935,1.2475146,0.26298579,1.7316459,1.3516116,1.5105003899999998,0.8258949208215697
sub91,189,0.053271632,0.172921,2.6224609,3.0030367,5.8412963,1.9296484,5.6254976,0.46617403232026977
sub92,185,0.46778014,0.32222749,1.3983355,1.1036892,2.5341127,0.99208633,2.5020246999999998,0.5588815729916655
sub93,180,0.088457775,0.44723895,2.1899389,1.6562746,0.93262158,-0.32649081,3.8462135,0.5693752829893608
sub94,187,0.81140448,0.24537903,4.5664484,1.9174655,3.2992228,1.3459262,6.483913899999999,0.7042734481714817
sub95,190,0.20420381,0.91520346,2.8739383,2.1524132,4.7677215,1.2507155,5.0263515,0.5717742382322446
sub96,184,0.21827049,0.018036181,1.2285068,1.4264821,1.240349,-0.71605878,2.6549889,0.46271636013242834
sub97,186,0.82827894,0.152632,2.7008931,1.1103179,1.5919972,0.7267383,3.811211,0.7086705774096475
sub98,191,0.17487516,0.1536644,2.0771104,2.033017,4.7469258,1.3007418,4.1101274,0.505363994313169
sub99,189,0.81547579,0.30837938,2.2576614,0.79989678,1.0272815,0.70698789,3.05755818,0.7383870615341814
