subject_id,trials_used,alpha,lambda,beta_mb,beta_mf,stickiness,vmod,a,Ter,z,beta1_stage1,w_hybrid
sub21,190,0.43795342,0.3264727,2.975757,2.2744824,0.24807342,1.9765608,2.2377547,0.20189299,0.73117518,5.2502394,0.5667850117463216
sub22,191,0.58952374,0.7720877,6.0307037,0.75028396,0.88839469,1.306454,2.5542139,0.30140076,0.79376236,6.78098766,0.8893547669426078
sub23,191,0.48761997,0.016024973,3.209102,2.1303281,2.2311511,1.3512763,2.4370388,0.22797509,0.72364118,5.3394300999999995,0.6010195732312331
sub24,188,0.54581126,0.16874605,1.0200889,1.763493,0.37972265,1.3836195,1.6140392,0.19867882,0.76726498,2.7835818999999997,0.3664662785743793
sub25,178,0.26913201,0.10028826,0.91191629,2.0535809,0.19527863,0.71661823,2.7025398,0.12212342,0.73589763,2.96549719,0.30750873515412097
sub26,185,0.38905013,0.014228872,0.85975262,2.8573324,0.089384535,0.53214513,2.5416055,0.1252778,0.76059805,3.7170850200000003,0.23129753970491637
sub27,191,0.45723271,0.39061,3.6345076,3.4849269,2.0965661,2.6556005,2.518684,0.29568123,0.67952164,7.1194345000000006,0.510505096998926
sub28,189,0.16807766,0.87026667,2.7715798,2.8286346,0.12098505,2.0174045,1.7047181,0.13765511,0.71049911,5.6002144000000005,0.49490601645536997
sub29,173,0.04850017,0.09359201,1.3495694,1.5612603,0.090829198,1.1869874,2.3452892,0.27002965,0.80567503,2.9108297,0.46363736085281804
sub3,187,0.54864166,0.87414357,0.93101007,0.61893198,0.59516307,0.92912469,2.2972832,0.24816743,0.75193201,1.54994205,0.6006741155258031
sub30,190,0.79935969,0.22754236,1.4969105,0.47117647,-0.20644227,0.82758947,2.3300176,0.19961546,0.75685811,1.96808697,0.7605916419435468
sub31,187,0.24425721,0.029400635,2.2835981,0.91410882,-0.32682243,1.0821332,2.1518467,0.12839288,0.71090274,3.19770692,0.7141361472864436
sub32,173,0.15876113,0.8277209,3.406408,2.1086336,0.80054365,1.3631191,2.7801553,0.17092231,0.76951809,5.5150416,0.6176577163080692
sub33,189,0.14673111,0.77510974,1.2247423,1.8538239,0.75622747,1.6785388,1.8357948,0.17946821,0.71616304,3.0785662,0.39782880095285916
sub34,188,0.28495622,0.15804574,2.2097776,1.6523661,1.7450729,2.5259809,2.1942993,0.28937039,0.75476896,3.8621437,0.5721634852685569
sub35,189,0.4390695,0.08675676,4.2439675,2.3766868,1.1201081,2.1584808,2.1677423,0.2784819,0.79815079,6.6206543,0.6410193475892556
sub36,183,0.5701277,0.096470986,3.1549187,1.6681914,0.34627452,1.39592,2.6987996,0.22170235,0.79784268,4.8231101,0.654125374413493
sub37,190,0.4607667,0.047406812,0.69834003,1.2382496,0.06865044,1.1682636,2.1214639,0.29089763,0.71565923,1.93658963,0.36060299982087585
sub38,174,0.64739803,0.096199287,0.55360674,0.72343911,0.1955516,0.29669877,2.6554758,0.12586142,0.77463214,1.27704585,0.4335057664530996
sub39,176,0.29131576,0.42052682,1.0906256,3.3774855,0.38156203,2.9736255,1.5460553,0.14159453,0.69221931,4.4681111,0.24409097616216394
sub4,187,0.49133158,0.19157941,1.8930459,1.9573994,1.0902812,0.94522337,2.5605999,0.17419449,0.72816696,3.8504452999999996,0.49164336914486234
sub40,185,0.55884439,0.05685889,2.2317253,0.5592438,0.13306271,1.5165712,2.0089205,0.15315822,0.76619725,2.7909691,0.7996237937567994
sub41,136,0.098588662,0.1481418,1.5705523,1.6742902,-0.025585257,1.19312,2.3370874,0.12813782,0.7928681,3.2448425,0.48401495604178013
sub42,179,0.4896362,0.17301705,2.5965704,1.0448492,1.578594,1.2836587,2.6937625,0.15380002,0.7063458,3.6414196,0.7130654209693384
sub43,191,0.50878649,0.069829796,1.9604009,1.4162082,0.75981226,1.3160344,1.8058889,0.19144306,0.78850081,3.3766091,0.5805827212868674
sub44,185,0.041347035,0.048922429,1.5186763,2.6028391,-0.56113842,1.4460708,2.3691146,0.39482833,0.7534832,4.1215154,0.36847522151682366
sub45,153,0.2139624,0.13563937,1.2216153,1.310487,0.14230551,0.49117271,2.8439354,0.28609311,0.75295041,2.5321023,0.4824510052378216
sub46,177,0.01672199,0.84139217,1.913928,2.6543872,0.016267467,1.7007344,2.3398163,0.16074405,0.78999867,4.5683152,0.4189570807198243
sub47,181,0.49038815,0.022756949,2.738635,1.574653,0.62366489,1.5419562,2.3985333,0.12625461,0.67884607,4.313288,0.6349297797874847
sub48,143,0.45207393,0.33346394,0.8972523,0.92509557,0.57990216,0.70000964,2.0590171,0.12798989,0.74530581,1.82234787,0.4923606051132268
sub49,190,0.57133285,0.083868128,2.531155,1.364343,1.6505469,1.4997307,2.1717634,0.30210408,0.77586374,3.895498,0.6497641636576377
sub5,155,0.34647747,0.092713045,2.161659,3.6647539,0.74092969,1.4096821,2.5408894,0.14162204,0.79082119,5.8264129,0.3710102660249156
sub50,187,0.69488945,0.077987024,4.5946533,1.5958805,1.2330777,2.0183215,2.0042779,0.18742565,0.71557825,6.1905338,0.7422063182984318
sub51,158,0.03359449,0.82000067,2.0469203,2.5177618,-0.11427048,1.3406804,2.0091638,0.12900125,0.7969408,4.564682100000001,0.44842559791841796
sub52,174,0.03602541,0.39481653,2.3473329,5.8229825,1.0418106,2.7597428,2.7673495,0.09982961,0.66863536,8.1703154,0.28730015734765885
sub53,184,0.64870011,0.14482624,4.6528666,1.7778132,1.0867893,1.339301,2.0201878,0.13941603,0.7309223,6.4306798,0.7235419496396012
sub54,184,0.58514286,0.086936424,2.8676393,1.5712343,0.88997349,1.3617946,1.8614668,0.30445741,0.7974024,4.4388736,0.6460286005891225
sub55,186,0.8988841,0.35001281,3.5094206,0.66920169,0.47907779,1.3129281,2.050512,0.35450728,0.77012465,4.17862229,0.8398511175318505
sub56,183,0.57705543,0.016237264,3.3917492,2.0203142,0.86462256,1.8912734,2.1426897,0.21741193,0.75835459,5.4120634,0.6267016753720956
sub57,191,0.84805167,0.094423021,2.2473547,0.37978736,-0.16053483,1.5269884,2.1909345,0.21265086,0.74688116,2.6271420599999997,0.8554370676095072
sub58,178,0.56037605,0.66105978,2.3980946,0.86284667,0.15243414,1.347956,2.5185468,0.13086121,0.76206651,3.26094127,0.7353995062904031
sub59,191,0.54092162,0.17609433,3.9769234,1.0560415,0.57625229,2.2797391,1.7787465,0.16401127,0.73861892,5.0329649,0.790175071556728
sub6,191,0.6910929,0.44903862,2.7109671,1.4841585,1.3825049,1.4157509,2.4769328,0.25655682,0.78205527,4.1951256,0.6462183396845138
sub60,169,0.26225031,0.013701793,3.1902653,1.9860057,0.62037798,1.3207567,2.1498692,0.24230739,0.74135408,5.176271,0.6163250146678951
sub61,177,0.86082765,0.10511454,0.9997975,1.7048825,0.25474233,0.58635645,2.4593849,0.29417209,0.76392361,2.70468,0.3696546356685449
sub62,191,0.10733514,0.94703486,2.8192774,1.936562,1.6983501,3.1473458,2.0425772,0.14287999,0.62425271,4.755839399999999,0.5928033230053984
sub63,191,0.51820306,0.70965874,1.2635588,1.6964365,1.2001459,2.7786375,1.9631408,0.23274192,0.73511786,2.9599953,0.42687865078704684
sub64,173,0.08311176,0.76966493,1.9136611,1.8468072,0.43613549,0.83913913,2.774375,0.22950088,0.78180002,3.7604683,0.5088890391656805
sub65,188,0.92002759,0.055107513,6.7235889,2.1838591,0.5523964,1.763958,2.3782508,0.15159603,0.71289235,8.907448,0.754827746398295
sub66,189,0.070368055,0.90280706,3.1145819,2.808881,2.4764198,4.1913982,2.2628998,0.13232288,0.64264519,5.9234629000000005,0.5258042385983375
sub67,191,0.56139579,0.063722824,7.5721652,1.4386315,2.2830847,2.0852456,2.1783326,0.21607928,0.71876069,9.0107967,0.840343584713214
sub68,187,0.54171478,0.67250842,2.9664653,2.2532915,0.32458232,1.5835218,2.7240216,0.3161082,0.73005925,5.2197568,0.5683148494581204
sub69,191,0.60552145,0.021837653,4.3822036,2.7592959,1.3789997,2.6954044,2.173042,0.24763639,0.69310938,7.1414995,0.6136251357295481
sub7,191,0.39976348,0.04520715,2.3017904,1.8096947,1.5830241,2.0271731,1.8787592,0.25638946,0.78474337,4.1114850999999994,0.5598440329991711
sub70,191,0.85481067,0.019380423,0.75050221,1.1511189,-0.69764942,1.1471943,2.2184837,0.25820835,0.78451853,1.9016211099999998,0.3946644292353276
sub71,189,0.5966748,0.04293538,2.9131161,3.7342841,1.8079325,1.93761,1.812128,0.26912855,0.79335316,6.6474002,0.43823389781767613
sub72,191,0.44491694,0.53502266,3.7526402,2.054602,2.7577518,2.9800955,2.1351494,0.24509515,0.69749794,5.8072422,0.6462000499996366
sub73,189,0.65910847,0.050106201,1.1016935,3.5616402,1.3900265,2.5019654,2.0612349,0.20483899,0.64733488,4.6633337,0.23624590708574
sub74,190,0.55819858,0.87900021,1.9788009,2.6720624,1.9093088,1.4935515,1.8863666,0.31774195,0.76357263,4.6508633,0.4254695896996155
sub75,178,0.40402982,0.02174939,6.1357598,2.741744,1.2064206,1.824413,2.5414774,0.13791322,0.75899704,8.8775038,0.691158228510136
sub76,186,0.72315425,0.28488124,0.95762722,1.5949977,0.25116168,0.89163653,2.4780003,0.132365,0.72297414,2.55262492,0.3751539101953138
sub77,191,0.76326969,0.011976966,1.1805386,1.3847736,1.0455454,1.3712667,1.7700497,0.22089358,0.72792704,2.5653122,0.460192954292269
sub78,173,0.59957088,0.034144955,1.3063012,1.1685746,-0.13095858,1.2243219,1.7787548,0.14450136,0.76259433,2.4748758,0.5278249518622309
sub79,189,0.6407574,0.40899837,2.557241,1.8518584,1.092703,0.75728067,2.0274613,0.15513313,0.75398744,4.4090994,0.5799916871912664
sub8,188,0.85770724,0.25795668,2.9780294,0.94142227,0.59046184,1.675053,2.0416802,0.23011603,0.74625247,3.91945167,0.759807659523966
sub80,185,0.030091858,0.90230952,1.6488468,2.2159076,0.47350099,2.8256605,2.3022807,0.24585671,0.75102925,3.8647544,0.4266368905615322
sub81,191,0.53402984,0.2112203,2.4943787,1.3030427,1.3897667,1.7452334,2.3533647,0.30213042,0.74317295,3.7974214,0.6568611795361978
sub82,190,0.79461642,0.034812314,1.9914038,0.86293511,0.22090643,1.1133459,2.2736207,0.32678395,0.74491216,2.85433891,0.6976760163354253
sub83,188,0.74376153,0.82903795,1.1993295,0.8315671,1.1580013,1.1307654,2.03479,0.17685053,0.75365917,2.0308966,0.590541881846668
sub84,160,0.4922628,0.032990668,1.4218811,1.7539804,1.5791565,1.1023041,2.0277568,0.13923462,0.80426926,3.1758615,0.4477150845526482
sub85,178,0.71385174,0.42149546,2.6652233,1.301117,1.0342912,1.0968631,2.312772,0.12647145,0.75095176,3.9663403,0.6719603207016805
sub86,103,0.17657565,0.070186178,2.2726814,2.5037763,0.97404876,0.73025999,1.8020326,0.13912142,0.82452609,4.7764577,0.4758089661298582
sub87,176,0.0037558335,0.23224114,1.987831,1.9546051,-0.11461517,1.9619101,2.4933392,0.14520785,0.77601589,3.9424361,0.5042138793321216
sub88,191,0.62242616,0.12467946,6.2321378,2.7586697,1.4442822,1.6806443,1.9577248,0.23889778,0.7688929,8.9908075,0.6931677493929216
sub89,181,0.073053181,0.47640993,2.4753397,5.3980095,0.75096952,2.5922673,2.4164942,0.16070332,0.73184683,7.8733492,0.3143947559191202
sub9,129,0.0639235,0.83532737,1.3278268,2.0743027,1.4081936,1.1446028,2.5153749,0.11889225,0.76524908,3.4021295,0.3902928445257595
sub90,175,0.56282026,0.19521737,1.4425138,0.54724072,1.2722827,1.0113798,2.5027118,0.20951056,0.80766699,1.98975452,0.7249707365911651
sub91,121,0.075451909,0.12157389,2.273307,3.0042817,1.6218002,1.8821016,2.2942806,0.13511182,0.8497773,5.2775887,0.43074728426639236
sub92,184,0.42824176,0.40999868,1.441287,1.1535684,0.97856633,1.3666606,2.3843032,0.15686231,0.76935464,2.5948554,0.5554401990954871
sub93,178,0.1375958,0.17607162,2.1681296,1.4964621,-0.24401075,0.57579269,2.479797,0.17843894,0.75551444,3.6645917,0.5916428834350086
sub94,184,0.89765197,0.28656735,4.1203548,1.5912579,1.3561328,1.8668581,1.8442024,0.2173542,0.75931602,5.7116127,0.7213995444754159
sub95,105,0.22420436,0.95467842,2.0634489,2.4865686,1.1414957,1.3347856,2.1180239,0.14333555,0.86279958,4.5500175,0.45350350850298926
sub96,168,0.3018589,0.014221446,0.93449428,1.7912747,-0.70541833,0.81122647,2.4576004,0.1584007,0.79124121,2.72576898,0.34283693403833515
sub97,168,0.74855992,0.057488024,2.5831021,1.0928824,0.72056702,0.75161012,2.5661169,0.11992718,0.77742077,3.6759845,0.7026966789441033
sub98,191,0.13052457,0.23764397,2.2880323,2.1716199,1.2819573,2.3300401,2.378565,0.31041766,0.65153129,4.4596522,0.51305173529003
sub99,188,0.82251479,0.30289691,2.2107484,0.79404553,0.70221148,0.80252266,1.7667201,0.23334791,0.73904907,3.00479393,0.7357404372818338
