subject_id,alpha,lambda,beta_mb,beta_mf,stickiness,vmod,a,Ter,z,beta2_rl,beta_equiv_ddm
sub60,0.26225031,0.013701793,3.1902653,1.9860057,0.62037798,1.3207567,2.1498692,0.24230739,0.74135408,2.7781978,5.67890830004728
sub61,0.86082765,0.10511454,0.9997975,1.7048825,0.25474233,0.58635645,2.4593849,0.29417209,0.76392361,1.3176101,2.88415239829521
sub62,0.10733514,0.94703486,2.8192774,1.936562,1.6983501,3.1473458,2.0425772,0.14287999,0.62425271,4.7599022,12.857393543191522
sub63,0.51820306,0.70965874,1.2635588,1.6964365,1.2001459,2.7786375,1.9631408,0.23274192,0.73511786,4.2465148,10.909713289319999
sub64,0.08311176,0.76966493,1.9136611,1.8468072,0.43613549,0.83913913,2.774375,0.22950088,0.78180002,1.036337,4.6561732475875
sub65,0.92002759,0.055107513,6.7235889,2.1838591,0.5523964,1.763958,2.3782508,0.15159603,0.71289235,3.56002,8.3902690493328
sub66,0.070368055,0.90280706,3.1145819,2.808881,2.4764198,4.1913982,2.2628998,0.13232288,0.64264519,8.4418888,18.96942829700072
sub67,0.56139579,0.063722824,7.5721652,1.4386315,2.2830847,2.0852456,2.1783326,0.21607928,0.71876069,4.0797141,9.08471693897312
sub68,0.54171478,0.67250842,2.9664653,2.2532915,0.32458232,1.5835218,2.7240216,0.3161082,0.73005925,3.1489165,8.62709517454176
sub69,0.60552145,0.021837653,4.3822036,2.7592959,1.3789997,2.6954044,2.173042,0.24763639,0.69310938,5.1884266,11.714453936369601
sub7,0.39976348,0.04520715,2.3017904,1.8096947,1.5830241,2.0271731,1.8787592,0.25638946,0.78474337,3.741545,7.61714022323504
sub70,0.85481067,0.019380423,0.75050221,1.1511189,-0.69764942,1.1471943,2.2184837,0.25820835,0.78451853,1.8585187,5.09006371056582
sub71,0.5966748,0.04293538,2.9131161,3.7342841,1.8079325,1.93761,1.812128,0.26912855,0.79335316,3.6762844,7.0223946681600005
sub72,0.44491694,0.53502266,3.7526402,2.054602,2.7577518,2.9800955,2.1351494,0.24509515,0.69749794,5.420526,12.7258982375354
sub73,0.65910847,0.050106201,1.1016935,3.5616402,1.3900265,2.5019654,2.0612349,0.20483899,0.64733488,4.6749444,10.31427680214492
sub74,0.55819858,0.87900021,1.9788009,2.6720624,1.9093088,1.4935515,1.8863666,0.31774195,0.76357263,3.0233334,5.6347713299598
sub75,0.40402982,0.02174939,6.1357598,2.741744,1.2064206,1.824413,2.5414774,0.13791322,0.75899704,3.9547478,9.2734088155324
sub76,0.72315425,0.28488124,0.95762722,1.5949977,0.25116168,0.89163653,2.4780003,0.132365,0.72297414,1.7981763,4.418951177661918
sub77,0.76326969,0.011976966,1.1805386,1.3847736,1.0455454,1.3712667,1.7700497,0.22089358,0.72792704,2.0785969,4.85442042190998
sub78,0.59957088,0.034144955,1.3063012,1.1685746,-0.13095858,1.2243219,1.7787548,0.14450136,0.76259433,1.5151196,4.355536912740241
sub79,0.6407574,0.40899837,2.557241,1.8518584,1.092703,0.75728067,2.0274613,0.15513313,0.75398744,1.152809,3.0707145033261423
sub8,0.85770724,0.25795668,2.9780294,0.94142227,0.59046184,1.675053,2.0416802,0.23011603,0.74625247,2.4066411,6.8398450881012
sub80,0.030091858,0.90230952,1.6488468,2.2159076,0.47350099,2.8256605,2.3022807,0.24585671,0.75102925,1.1437338,13.0109272678047
sub81,0.53402984,0.2112203,2.4943787,1.3030427,1.3897667,1.7452334,2.3533647,0.30213042,0.74317295,3.3785605,8.214341353641961
sub82,0.79461642,0.034812314,1.9914038,0.86293511,0.22090643,1.1133459,2.2736207,0.32678395,0.74491216,2.02434,5.06265256900026
sub83,0.74376153,0.82903795,1.1993295,0.8315671,1.1580013,1.1307654,2.03479,0.17685053,0.75365917,1.3820017,4.6017402565320005
sub84,0.4922628,0.032990668,1.4218811,1.7539804,1.5791565,1.1023041,2.0277568,0.13923462,0.80426926,1.7567424,4.47040926888576
sub85,0.71385174,0.42149546,2.6652233,1.301117,1.0342912,1.0968631,2.312772,0.12647145,0.75095176,1.8781328,5.0735885310264
sub86,0.17657565,0.070186178,2.2726814,2.5037763,0.97404876,0.73025999,1.8020326,0.13912142,0.82452609,1.1900376,2.631904616911348
sub87,0.0037558335,0.23224114,1.987831,1.9546051,-0.11461517,1.9619101,2.4933392,0.14520785,0.77601589,1.896519,9.78341471841184
sub88,0.62242616,0.12467946,6.2321378,2.7586697,1.4442822,1.6806443,1.9577248,0.23889778,0.7688929,3.7079772,6.58047805217728
sub89,0.073053181,0.47640993,2.4753397,5.3980095,0.75096952,2.5922673,2.4164942,0.16070332,0.73184683,4.3949111,12.52839779059932
sub9,0.0639235,0.83532737,1.3278268,2.0743027,1.4081936,1.1446028,2.5153749,0.11889225,0.76524908,1.5452007,5.758210307179439
sub90,0.56282026,0.19521737,1.4425138,0.54724072,1.2722827,1.0113798,2.5027118,0.20951056,0.80766699,1.7316459,5.0623843194832805
sub91,0.075451909,0.12157389,2.273307,3.0042817,1.6218002,1.8821016,2.2942806,0.13511182,0.8497773,5.8412963,8.63613837621792
sub92,0.42824176,0.40999868,1.441287,1.1535684,0.97856633,1.3666606,2.3843032,0.15686231,0.76935464,2.5341127,6.51706648378784
sub93,0.1375958,0.17607162,2.1681296,1.4964621,-0.24401075,0.57579269,2.479797,0.17843894,0.75551444,0.93262158,2.85569797056786
sub94,0.89765197,0.28656735,4.1203548,1.5912579,1.3561328,1.8668581,1.8442024,0.2173542,0.75931602,3.2992228,6.8857283769588795
sub95,0.22420436,0.95467842,2.0634489,2.4865686,1.1414957,1.3347856,2.1180239,0.14333555,0.86279958,4.7677215,5.65421560435168
sub96,0.3018589,0.014221446,0.93449428,1.7912747,-0.70541833,0.81122647,2.4576004,0.1584007,0.79124121,1.240349,3.987340994325176
sub97,0.74855992,0.057488024,2.5831021,1.0928824,0.72056702,0.75161012,2.5661169,0.11992718,0.77742077,1.5919972,3.857438862286056
sub98,0.13052457,0.23764397,2.2880323,2.1716199,1.2819573,2.3300401,2.378565,0.31041766,0.65153129,4.7469258,11.084303660913001
sub99,0.82251479,0.30289691,2.2107484,0.79404553,0.70221148,0.80252266,1.7667201,0.23334791,0.73904907,1.0272815,2.835665828254932
